epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
59,0.84805226,0.10310874,0.20429945,0.10698893,1200.0,-6.860332,0.8374999999999999,6000.0,0.5800000000000001
60,0.84810036,0.10314685,0.2043134,0.107032165,1220.0,-6.244488,0.825,6100.0,0.5675
61,0.84817165,0.1032056,0.2042931,0.10704055,1240.0,-5.1958942,0.85,6200.0,0.5725
62,0.8482868,0.10317085,0.2043083,0.10705857,1260.0,-5.207942,0.8625,6300.0,0.615
63,0.84839433,0.10317703,0.20433182,0.10709963,1280.0,-4.3335285,0.95,6400.0,0.625
64,0.8485234,0.103217594,0.20434257,0.107087575,1300.0,-4.6248555,0.8625,6500.0,0.565
65,0.84860086,0.10327536,0.20436455,0.10712323,1320.0,-7.2779064,0.825,6600.0,0.5900000000000001
66,0.8486843,0.10328165,0.20437883,0.1071672,1340.0,-4.946342,0.8625,6700.0,0.6100000000000001
67,0.84883,0.10335436,0.20441759,0.1072451,1360.0,-5.0145297,0.8500000000000001,6800.0,0.5725
68,0.84889036,0.10341374,0.20442165,0.10738008,1380.0,-4.606489,0.85,6900.0,0.6275
69,0.848973,0.10349219,0.20447423,0.10750862,1400.0,-4.7516413,0.8375,7000.0,0.6074999999999999
70,0.8490369,0.10345411,0.2045282,0.107495785,1420.0,-4.701653,0.8125,7100.0,0.5875
71,0.8491512,0.10350627,0.20455845,0.107518226,1440.0,-2.4825845,0.9,7200.0,0.5925
72,0.8492779,0.10361153,0.20459576,0.107582904,1460.0,-2.7107542,0.8875,7300.0,0.5549999999999999
73,0.84937507,0.103670485,0.204638,0.10756935,1480.0,-2.7353601,0.8875,7400.0,0.5725
74,0.84947616,0.10367755,0.2046961,0.10749753,1500.0,-1.8269681,0.9249999999999999,7500.0,0.6275
75,0.8495297,0.10363865,0.20471655,0.10749566,1520.0,-3.2190757,0.7875,7600.0,0.61
76,0.8495752,0.103655465,0.20478308,0.1074485,1540.0,-1.7520831,0.95,7700.0,0.605
77,0.8496575,0.1036366,0.20481585,0.107407905,1560.0,-2.3021398,0.8625,7800.0,0.6224999999999999
78,0.849767,0.10371947,0.2048252,0.10747855,1580.0,-2.1829383,0.9,7900.0,0.5800000000000001
79,0.8498552,0.103783004,0.20488071,0.107503,1600.0,-1.6775287,0.925,8000.0,0.57
80,0.84987545,0.10380105,0.2049055,0.107510604,1620.0,-2.0447588,0.8875000000000001,8100.0,0.5449999999999999
81,0.84994537,0.10376516,0.20494081,0.10757067,1640.0,-2.2727253,0.8500000000000001,8200.0,0.5700000000000001
82,0.8500233,0.10376122,0.20497245,0.10764898,1660.0,-1.6490277,0.975,8300.0,0.585
83,0.8501413,0.10377612,0.20499693,0.10771503,1680.0,-1.4224532,0.9624999999999999,8400.0,0.5575
84,0.8501787,0.1037427,0.20502788,0.107664384,1700.0,-1.4120767,0.8999999999999999,8500.0,0.565
85,0.8502112,0.10376617,0.20505552,0.107753366,1720.0,-1.3112979,0.925,8600.0,0.545
86,0.85028774,0.10373434,0.20510608,0.10782112,1740.0,-1.3002057,0.8624999999999999,8700.0,0.5725
87,0.850354,0.10370341,0.20513353,0.107845135,1760.0,-0.9499885,0.9375,8800.0,0.5425
88,0.850362,0.10375288,0.20514864,0.10791343,1780.0,-1.2976146,0.9125,8900.0,0.5700000000000001
89,0.85045046,0.103769064,0.20516144,0.107970566,1800.0,-1.5282735,0.8875,9000.0,0.5125
90,0.85045475,0.10373481,0.20516342,0.10799187,1820.0,-1.2181937,0.975,9100.0,0.5675
91,0.8504805,0.10377178,0.20514439,0.10804166,1840.0,-1.1733358,0.9375,9200.0,0.5275000000000001
92,0.85050887,0.10370001,0.20515737,0.10805828,1860.0,-1.2150505,0.8875,9300.0,0.59
93,0.85052854,0.103674255,0.20518158,0.10802641,1880.0,-0.97071993,0.9375,9400.0,0.6025
94,0.8505273,0.10366955,0.20520024,0.10811755,1900.0,-1.2019736,0.8625,9500.0,0.5625
95,0.85061103,0.10365998,0.2052057,0.10815669,1920.0,-0.9793735,0.9375,9600.0,0.5825
96,0.85070044,0.10363891,0.20523642,0.10823505,1940.0,-1.1213671,0.925,9700.0,0.5225
97,0.850785,0.103606574,0.2052647,0.108254716,1960.0,-0.9048046,0.9375,9800.0,0.5075000000000001
98,0.85082,0.103642695,0.20527062,0.10838833,1980.0,-1.1470603,0.95,9900.0,0.5425
99,0.85086435,0.10361674,0.2052862,0.108453855,2000.0,-1.1425675,0.9375,10000.0,0.5549999999999999
